         29486 function calls (28396 primitive calls) in 0.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       50    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\_config.py:35(get_config)
       80    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      490    0.001    0.000    0.001    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:622(get)
       30    0.000    0.000    0.001    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:764(unwrap)
       10    0.000    0.000    0.001    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:118(_formatwarnmsg)
     1290    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:2816(name)
       10    0.000    0.000    0.000    0.000 <frozen _collections_abc>:808(get)
       60    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:35(_formatwarnmsg_impl)
       40    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       15    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\warnings.py:170(simplefilter)
      490    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\enum.py:1156(__new__)
       30    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\inspect.py:176(get_annotations)
      490    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\sklearn\utils\validation.py:2732(_check_n_features)
       10    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\shape_base.py:80(atleast_2d)
      190    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\lightgbm\basic.py:327(_is_numpy_1d_array)
     1060    0.000    0.000    0.000    0.000 C:\Users\shahu\AppData\Local\Programs\Python\Python313\Lib\copy.py:173(_deepcopy_atomic)
       15    0.000    0.000    0.000    0.000 C:\Users\shahu\Documents\OneDrive\OPEN CLASSROOMS\PROJET 8\Scoring_Model_Enhanced\.venv\Lib\site-packages\numpy\_core\fromnumeric.py:51(_wrapfunc)
